yearID,playerID,teamID,Batting Average
2018,abreujo02,CHA,0.26452905811623245
2018,acunaro01,ATL,0.29330254041570436
2018,adamewi01,TBA,0.2777777777777778
2018,adamja01,KCA,0.0
2018,adamsau02,WAS,0.0
2018,adamsch01,NYA,0.0
2018,adamsla01,ATL,0.24
2018,adamsma01,WAS,0.2570281124497992
2018,adamsma01,SLN,0.15789473684210525
2018,adducji02,DET,0.26704545454545453
2018,adriaeh01,MIN,0.2507462686567164
2018,aguilje01,MIL,0.27439024390243905
2018,ahmedni01,ARI,0.23449612403100775
2018,alberha01,TEX,0.18518518518518517
2018,alberma01,MIL,0.0
2018,albieoz01,ATL,0.26134585289514867
2018,alcansa01,MIA,0.0
2018,alcanvi01,DET,0.0
2018,alexasc01,LAN,0.0
2018,alfarjo01,PHI,0.2616279069767442
2018,alforan01,TOR,0.10526315789473684
2018,allarko01,ATL,1.0
2018,allenco01,CLE,0.0
2018,allengr01,CLE,0.25660377358490566
2018,almonab01,KCA,0.1791044776119403
2018,almonmi01,LAA,0.0
2018,almonye01,COL,0.0
2018,almoral01,CHN,0.28603603603603606
2018,alonsyo01,CLE,0.25
2018,altavda01,SEA,0.0
2018,altheaa01,PHI,0.18106995884773663
2018,altuvjo01,HOU,0.31647940074906367
2018,alvarjo02,LAA,0.0
2018,alvarjo03,TBA,0.0
2018,alvarpe01,BAL,0.18018018018018017
2018,anderbr04,OAK,0.25
2018,anderbr06,MIA,0.27288135593220336
2018,anderch01,MIL,0.08888888888888889
2018,anderdr02,PHI,0.0
2018,anderju01,LAA,0.0
2018,anderta01,PIT,0.0
2018,anderti01,CHA,0.23985890652557318
2018,anderty01,COL,0.1
2018,andrejo03,SEA,0.2
2018,andrejo03,BAL,0.23214285714285715
2018,andrima01,TBA,0.0
2018,andrima01,ARI,0.0
2018,andruel01,TEX,0.25569620253164554
2018,andujmi01,NYA,0.29668411867364747
2018,aquinar01,CIN,0.0
2018,aranovi01,PHI,0.0
2018,araujpe01,BAL,0.0
2018,archech01,TBA,0.0
